Transaction_ID;Date;Customer_Name;Product;Total_Items;Total_Cost;Payment_Method;City;Store_Type;Discount_Applied;Customer_Category;Season;Promotion
1000000000;21.01.2022 6:27;Stacey Price;['Ketchup', 'Shaving Cream', 'Light Bulbs'];3;71.65;Mobile Payment;Los Angeles;Warehouse Club;True;Homemaker;Winter;None
1000000001;01.03.2023 13:01;Michelle Carlson;['Ice Cream', 'Milk', 'Olive Oil', 'Bread', 'Potatoes'];2;25.93;Cash;San Francisco;Specialty Store;True;Professional;Fall;BOGO (Buy One Get One)
1000000002;21.03.2024 15:37;Lisa Graves;['Spinach'];6;41.49;Credit Card;Houston;Department Store;True;Professional;Winter;None
1000000003;31.10.2020 9:59;Mrs. Patricia May;['Tissues', 'Mustard'];1;39.34;Mobile Payment;Chicago;Pharmacy;True;Homemaker;Spring;None
1000000004;10.12.2020 0:59;Susan Mitchell;['Dish Soap'];10;16.42;Debit Card;Houston;Specialty Store;False;Young Adult;Winter;Discount on Selected Items
1000000005;07.10.2021 12:37;Joshua Frazier;['Toothpaste', 'Chicken'];3;72.24;Cash;Houston;Supermarket;True;Retiree;Spring;Discount on Selected Items
1000000006;08.01.2023 10:40;Victoria Garrett;['Honey', 'BBQ Sauce', 'Soda', 'Olive Oil', 'Garden Hose'];4;май.28;Cash;Boston;Specialty Store;False;Student;Summer;Discount on Selected Items
1000000007;03.09.2020 12:39;Sydney Waller;['Syrup', 'Trash Cans', 'Pancake Mix', 'Water', 'Mayonnaise'];5;21.77;Debit Card;Chicago;Specialty Store;False;Young Adult;Winter;Discount on Selected Items
1000000008;05.04.2021 6:32;Kimberly Morgan;['Insect Repellent'];4;55.25;Mobile Payment;Los Angeles;Warehouse Club;False;Homemaker;Fall;None
1000000009;08.07.2021 10:08;Lori Conway;['Soap', 'Baby Wipes', 'Soda'];7;31.21;Mobile Payment;Boston;Convenience Store;True;Young Adult;Winter;None
1000000010;18.03.2020 18:58;Randall Roberts;['Extension Cords', 'Soda', 'Water', 'Garden Hose', 'Cleaning Spray'];8;91.59;Debit Card;Boston;Department Store;True;Middle-Aged;Fall;BOGO (Buy One Get One)
1000000011;30.03.2023 19:26;Jeremiah White;['Tea', 'Paper Towels', 'Spinach'];7;31.88;Mobile Payment;New York;Specialty Store;False;Young Adult;Fall;Discount on Selected Items
1000000012;27.05.2023 15:52;Sheila Mcgee;['Salmon', 'Shaving Cream'];9;39.75;Debit Card;New York;Pharmacy;False;Student;Summer;Discount on Selected Items
1000000013;02.04.2023 9:24;Allen Miles;['Trash Bags', 'Apple', 'Mop', 'Hair Gel'];7;17.51;Mobile Payment;Seattle;Warehouse Club;False;Retiree;Winter;BOGO (Buy One Get One)
1000000014;09.04.2020 4:31;Mark Howard;['Razors', 'Laundry Detergent', 'Beef'];1;33.64;Credit Card;San Francisco;Warehouse Club;True;Retiree;Spring;None
1000000015;01.01.2021 4:29;Jesse Henderson;['Cereal', 'Vinegar', 'Bath Towels'];7;29.57;Mobile Payment;San Francisco;Convenience Store;False;Retiree;Winter;BOGO (Buy One Get One)
1000000016;15.10.2021 13:24;Eric Wall;['Air Freshener', 'Feminine Hygiene Products'];5;99.7;Mobile Payment;Miami;Specialty Store;True;Homemaker;Spring;None
1000000017;16.09.2021 9:28;Vanessa Peck;['Power Strips', 'Honey', 'Ketchup', 'Tea', 'Shampoo'];8;15.62;Credit Card;San Francisco;Department Store;False;Senior Citizen;Fall;None
1000000018;18.07.2022 11:33;Dominique Stout;['Mustard', 'Dustpan'];3;98.28;Mobile Payment;New York;Warehouse Club;False;Professional;Fall;BOGO (Buy One Get One)
1000000019;31.01.2021 7:52;Charles Brooks;['Coffee'];7;96.77;Debit Card;Chicago;Department Store;True;Homemaker;Winter;Discount on Selected Items
1000000020;31.10.2021 7:46;Angela Jones;['Pancake Mix', 'Vacuum Cleaner'];7;83.86;Cash;Houston;Pharmacy;False;Teenager;Winter;Discount on Selected Items
1000000021;30.12.2022 20:03;John Roberts;['Coffee', 'Shaving Cream'];1;39.93;Credit Card;Miami;Department Store;False;Retiree;Summer;BOGO (Buy One Get One)
1000000022;08.06.2021 10:28;Nicole White;['Shrimp', 'Iron', 'Cleaning Spray', 'Toilet Paper', 'Peanut Butter'];4;35.62;Mobile Payment;New York;Warehouse Club;True;Retiree;Spring;BOGO (Buy One Get One)
1000000023;03.01.2020 23:24;Don Harris;['Dishware', 'Pickles'];7;19.56;Cash;San Francisco;Department Store;False;Retiree;Spring;BOGO (Buy One Get One)
1000000024;27.02.2023 16:46;Hannah Rowland;['Sponges', 'Vacuum Cleaner', 'Iron'];4;24.мар;Debit Card;Dallas;Pharmacy;False;Student;Winter;None
1000000025;14.02.2020 13:19;Jessica Gonzalez;['Broom', 'Cereal'];10;июл.82;Credit Card;New York;Convenience Store;False;Professional;Fall;BOGO (Buy One Get One)
1000000026;21.09.2020 10:34;Christina Smith;['Garden Hose', 'Trash Cans'];6;49.45;Debit Card;Dallas;Warehouse Club;False;Senior Citizen;Winter;Discount on Selected Items
